Country,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
Argentina,0.619834711,1.247401247,1.242236025,0.829875519,-0.205338809,-1.026694045,-1.840490798,-1.646090535,-1.234567901,-1.244813278,-0.833333333,-0.627615063,-1.458333333,0,-1.050420168,-1.684210526,4.22832981,23.31932773,35.88110403,40.25695931,35.90263692,14.48040886,5.3125,3.816793893,2.388059701,4.017857143,5.341246291,5.735294118,8.163265306,8.86981402,9.85915493,11.68289291,11.5902965,11.30091984,10.51282051,10.0871731,9.420289855,8.854781582,8.700696056,8.371040724,8.498896247,9.110629067,8.964781217,7.933194154,6.612410987,5.467196819,5.876591577,7.059961315,8.969465649,10.65032988,11.933395,11.02077687,11.03327496,9.710391823,8.925619835,9.601301871,8.832807571,9.860248447,9.939301973,10.54194506,10.86956522,10.38869258,10.55900621,10.67830759,-71.11111111,-68.95006402,-67.60299625,-66.62621359,30.76923077,26.39175258,24.6628131,24.90909091,32.52595156,44.045677,44.51313756,43.37700146,35.50913838,25.02831257,23.63636364,23.55329949,25.3371869,27.17391304,35.38062284,47.32949877,51.72943889,56.26780627,54.18530351,52.20301171,50.45592705,43.89243391,39.78450062,36.38695493,40.63973064,48.46373139,51.88259709,51.39709833,52.78908307,60.95583529,77.64981456,91.81898846
Australia,-0.149031307,0.747384151,1.351351361,1.497005979,1.194029849,1.03857567,1.777777775,1.917404138,2.802359882,3.083700447,6.113537117,5.788712004,6.025824978,6.125356121,2.469135806,3.146374842,2.97699593,2.818791952,3.212851401,2.917771873,3.285151122,2.610966054,2.594033719,2.448453608,2.035623407,2.544529259,2.275600509,2.515723279,2.369077307,2.481389575,3.090234863,2.822085889,2.923264308,3.995157389,3.956834524,3.341288778,2.485207106,2.09545984,1.845444058,2.886836032,4.272517324,4.446978332,4.983012462,3.703703696,2.436323369,1.41921398,1.186623518,2.056277056,2.918918918,3.121636161,2.878464828,2.757158028,3.256302519,3.549060594,3.419689122,2.992776051,1.627670434,1.209677349,2.004007965,2.204408819,2.502502486,2.390438302,2.161100199,2.745098007,2.929687519,3.015564153,2.307692361,1.717557245,1.328273229,1.510859336,1.503759342,1.688555341,1.310861408,1.023255815,1.296296371,1.476014794,2.125693187,1.933701635,1.828153518,1.909090887,1.900452466,2.077687469,1.885098722,1.784121361,1.33214921,1.592920347,1.674008828,1.840490776,2.191060459,-0.348432064,0.693240917,0.860585176,1.114922776,3.846153849,3.012048158,3.498293534,5.08905856,6.144781142,7.268170493,7.831821929
Austria,1.054774966,1.024368076,0.885685651,0.726171099,0.466953399,0.365401083,0.466408256,0.976457382,1.576589601,2.111580756,2.858179685,2.828733994,2.780699639,3.082182649,2.609015719,2.136528571,1.965918221,1.785142121,1.715762157,1.776483757,1.767354874,1.179837305,1.273078482,1.205969015,1.357755507,1.985506155,2.168441171,2.72812455,2.902311142,2.485615432,2.216845118,1.605580447,1.138263459,1.633881779,1.564062319,1.428575399,1.65508563,1.902884155,1.93315632,3.177200903,3.321391015,3.605923987,3.728707303,2.222219082,1.103059629,0.279678631,0.030981072,0.621118896,1.402744054,1.952278106,1.796787666,2.098765145,2.873383806,3.314087439,3.539823945,3.413985449,2.585078136,2.222939468,2.3495347,2.784891098,2.488034984,2.143080547,1.82389549,1.557150699,1.587307852,1.758724673,1.667703298,1.410613449,0.852033349,1.02013322,0.935357793,0.778662248,0.974789388,0.564590675,0.699302691,1.328023179,2.030626097,1.948482742,2.149471647,2.195281063,1.794451126,1.943632102,2.136610278,2.116062863,1.730767731,1.684142888,1.394614122,1.31868165,1.871679203,1.043973504,1.413600753,1.203880457,1.337792604,2.508361123,3.133333343,4.072847708,5.841584146,7.862969052,9.793148015,10.59497297
Belgium,0.721821216,1.646185946,0.762482212,0.671202649,1.05659683,0.921532853,0.916260197,1.589186235,1.986544237,2.318958499,3.012918959,2.854445743,2.18408736,2.946763858,2.525761899,2.220182684,2.735005454,1.343232349,1.265985203,1.25700115,1.570991846,1.376243908,1.685179702,1.722754719,1.325140046,2.259816212,2.234590466,2.565273344,2.632121778,2.716392295,3.136426429,2.638714634,2.234996187,2.004294918,1.489009688,1.447103828,1.749695271,1.450292401,1.331315012,2.759639298,3.829507696,5.057259243,5.588539471,3.49118693,1.618966095,-0.296290877,-1.218892836,-0.277767628,0.988866099,2.175587922,2.600073459,2.99431921,3.376369085,3.479353703,3.636623913,3.633193414,3.557270619,2.748186904,2.642121999,2.42420077,1.253430031,1.259667045,1.13731958,0.804586119,1.000367956,0.416888984,0.079848323,-0.133027367,-0.480323237,0.491547392,0.80781886,1.4319491,1.790766569,2.131738133,2.100646302,1.871368087,2.632353338,1.912497541,1.895933662,2.069032225,1.52615821,1.806750726,2.253708592,2.62069396,2.162246988,1.899444841,1.162466311,0.541521836,1.041346702,0.547886449,0.818165109,0.556966697,0.535068203,1.439878295,2.619981122,5.167533998,7.980283687,8.975782432,10.28048454,11.07735043
Bolivia,8.856342202,8.56396867,6.717065948,6.645761677,2.584029518,1.452621448,1.991192792,2.603623249,3.906250009,4.807509955,5.101370388,4.589785082,2.515379357,1.940649595,1.728064289,0.234223085,0.813441784,0.54581762,0.250197538,2.072219036,2.702821882,3.168858684,3.634134593,3.848645843,4.327480359,4.406228607,4.550255605,4.454704265,5.460680616,5.758954916,5.411488644,4.980772905,3.938730858,4.055566527,4.423452767,4.698981562,6.596491233,6.573869022,9.888327408,11.64809456,12.9211802,16.46283544,14.34086522,12.40143369,8.554165783,3.532650247,1.166832178,0.500392465,0.356410508,1.30969966,2.679754597,5.657522207,9.832157622,11.19751164,10.50618996,8.085008106,4.828136111,4.392482577,4.398979229,4.449668721,5.015634232,4.82311067,6.08634399,6.981502657,6.115961853,6.646163671,5.948057076,4.414352414,5.388086249,3.801355776,3.446623361,3.637895655,2.770382144,4.43065377,3.502832933,3.789458822,3.493908394,1.86567167,3.143289951,2.796226305,2.841485687,3.110161458,1.722353877,1.441256336,1.147950798,1.588763484,2.144304301,2.471949221,1.313279989,1.460348625,1.062653839,-0.056852111,1.245884062,0.466825451,0.454990825,0.785845523,0.737684656,1.357408915,1.826516236,3.06031847
Brazil,4.647667868,3.734814028,2.625121011,1.820373633,2.303229428,3.267167656,5.501465119,8.361596154,7.872625712,6.582804037,7.561886415,6.201552032,6.211650863,6.997733801,6.63579315,7.492045296,7.627150199,7.804495329,7.635178358,10.64528132,15.63239368,16.85826296,15.21521469,11.39425819,6.752827403,5.490549201,6.898892338,7.234574319,7.443366169,7.794443751,6.204939704,6.087770113,5.510198755,4.295983928,3.835115113,3.141321864,2.987761314,3.29020634,4.021900784,4.254025462,4.634656794,5.560362699,6.260975977,6.23258019,5.782628447,5.176130058,4.401974342,4.232281982,4.863759466,5.106026375,4.596849852,5.580461854,6.102671879,6.591979736,7.136539179,6.703768633,5.766444213,5.002617448,5.24045931,5.608077306,6.352466796,6.564641689,6.072682104,5.841048737,5.806807744,6.392816084,6.587479671,6.516206905,7.65857385,8.513983093,9.52546357,10.36077146,10.14376334,9.146458311,8.728286148,7.044496523,4.892843575,3.557436979,2.568190798,2.817708636,2.793442865,3.336086615,4.40129227,4.115260553,4.081150951,4.31685633,3.180905985,3.371908842,3.831512737,2.136360757,2.626522825,4.250595049,5.28547875,7.72013561,9.64213643,10.48823704,10.74359102,11.91592765,8.645369942,6.050101476
Bulgaria,65.67863528,18.25518841,5.586702136,2.016916543,0.195416802,-0.864210222,5.095058201,5.962568711,8.515882263,10.3663224,10.50920848,11.80983656,8.890829609,9.641816046,6.257065256,4.884749225,8.171876484,7.105132059,4.643458199,3.407373019,0.60471049,1.074336404,3.057680426,4.691773887,6.39228606,6.741751661,6.758684206,4.74291579,3.823849293,4.910137198,4.773956647,6.626022151,8.019056307,8.278600947,6.676512509,6.114395877,5.232088937,4.680551848,11.18689086,12.4751673,13.28197169,14.96807767,12.17030198,9.255263941,5.986473372,4.135547942,1.009943104,0.067531988,0.904512276,1.691659171,2.829589926,4.345389889,5.107188224,4.75247997,3.933282851,3.11583618,2.016602741,1.639999823,3.961763324,4.198130834,3.565999699,2.193515081,-0.609291177,-1.493012527,-2.380346901,-1.827749775,-0.80175004,-0.637828365,-0.476136061,0.564600678,-0.04368287,-0.460663537,-0.672959762,-1.850320373,-0.347219806,-0.315860494,1.65266967,2.268463773,1.583200476,2.742667193,2.008441178,2.582052346,3.520057392,3.143410087,3.284549346,3.341158407,2.719317467,3.075024214,3.608427105,1.558692971,1.132812216,0.422535111,-0.001445485,2.366038364,3.820537619,7.037762082,10.51359333,15.60964337,17.89475376,17.11414527
Canada,1.036269425,0.996309961,0.846521909,1.104972378,0.769230772,1.607599562,2.189781014,2.367941715,2.653580521,2.445163605,2.714285723,3.060498214,2.762039651,3.58020359,2.71210013,1.070441988,1.55065473,1.35547272,2.335815847,3.792278781,4.47913132,2.774991643,2.084022491,1.744568795,0.90938616,2.212101491,2.009073233,2.296991275,2.124235597,1.909611716,2.604828467,2.213788731,2.363693665,2.560899431,1.733746133,1.361386139,1.816502469,2.192448241,2.130249544,2.411477412,1.784094341,2.353992849,3.426698449,1.907600601,1.24777183,0.058224158,-0.864304237,0.789704591,1.61384977,1.396566774,1.830863098,2.263493939,2.598902641,3.357245371,2.996575355,2.695800161,2.336054081,1.582454134,1.219174325,0.939486107,0.907590716,0.765236419,1.149739867,0.93074182,1.39002462,2.224030409,2.083897249,1.925684885,1.075268731,0.902096012,1.193001012,1.330494931,1.542553237,1.551406836,1.231333474,1.391806731,1.911995776,1.32055929,1.37163562,1.787101726,2.056026745,2.300025551,2.680622937,2.035623426,1.61168471,2.148388677,1.939333668,2.094763135,1.80916982,0.024455864,0.26829267,0.781631611,1.436221968,3.349633216,4.062271946,4.726127006,5.831533459,7.546723501,7.152875231,6.665123835
Chile,5.596827237,5.385835889,5.067484236,4.421226263,3.817285366,3.919013755,3.188745107,2.451522311,3.195533095,3.628070856,3.962141554,4.572114885,4.005436269,3.603051915,3.640403938,3.04396947,2.44276265,2.204004985,2.361108668,2.943185883,3.777190372,3.718533173,2.726974892,1.065915414,0.005870717,0.461901425,1.475833228,2.272293166,2.294238845,2.765685838,3.320172625,3.807891346,4.064148548,3.807529247,3.487283723,2.246977936,2.688579767,2.863809254,4.787195612,7.236777364,8.011827023,8.886448909,9.337084691,8.605660677,4.834677738,1.810249392,-1.85412852,-3.02920678,-0.258346815,1.192864966,2.246809774,2.473320262,2.919041249,3.304145332,3.118583144,4.012950422,4.146588845,3.098250375,2.638456828,2.178899113,1.469215488,1.271718479,2.105816243,2.304793934,3.423863015,5.054988966,4.900641254,5.477412617,4.374057297,4.179831782,4.74716978,4.097173203,4.650214925,4.209449351,3.494488085,2.829717342,2.754664879,2.303727272,1.663881975,2.019641189,1.998552778,2.155881573,2.81449016,2.765400215,2.297219733,2.630431139,2.464366533,2.833311241,3.698688895,2.932426687,2.678107188,2.88399643,2.948950694,3.592072652,4.887313184,6.632461465,8.308843958,11.51853332,13.64678901,12.97969726
China,0.298935419,-0.86451275,-1.433830835,-1.100062651,-1.433719533,-2.167092799,-1.163941165,-0.832799744,0.100894276,0.096929868,0.264009874,0.930064064,0.663740035,1.567230543,0.792610924,-0.133725628,-0.586894465,-0.991349378,-0.757680748,-0.593169228,0.469622567,0.609435052,0.806906567,2.628520229,2.763153536,4.31882142,5.16468294,3.089114704,2.745838745,1.679924694,1.307822594,1.379563623,1.414094424,1.65843016,1.592242492,1.932722022,2.747703366,3.608635668,6.189585061,6.71794078,8.096566956,7.863459186,5.313101363,2.580493452,-0.62569425,-1.531017809,-1.269245945,0.526770239,2.071550448,2.718075742,3.264566429,4.642333294,5.223648537,5.954097013,6.438450702,4.620925197,3.727294935,2.771085452,1.89780935,2.103177162,2.463620885,2.390941524,2.733515118,2.894225649,2.240557926,2.138237866,1.9059915,1.407318156,1.147482883,1.357315651,1.793570473,1.450249575,2.102105888,2.109135893,1.628991945,2.160908763,1.437905585,1.508194579,1.602877469,1.822324707,2.12628984,1.711893744,2.28590113,2.173212879,1.829651408,2.667510031,2.864332763,4.222711974,4.956644334,2.72192802,1.958395018,0.120045981,-0.108977973,1.26812888,1.000754442,1.782460345,1.153592618,2.255389763,2.65164065,1.839684612
Costa Rica,10.95863296,10.67209515,12.37312329,12.56286832,11.83999288,10.19480048,8.418260536,9.846356274,11.0092109,10.84853581,11.61859387,10.38742281,9.988026796,12.57677442,11.46360877,10.98903581,9.803836196,7.812944333,9.176153996,9.873513117,9.38850775,10.22048983,8.830555716,9.372769669,11.30254309,11.54176824,13.09309153,13.24333256,13.40862641,13.96139757,13.73159159,14.06762158,12.78827652,11.97277867,11.62467831,9.64480659,9.009020475,9.221735132,8.916123163,10.24981301,10.99983065,11.89130943,15.11578032,15.48940327,12.85387347,9.803621836,5.807207108,3.534857498,5.595621591,6.033578657,5.295026892,5.730379376,4.663370255,4.902055169,5.20639692,4.738518665,4.158212918,4.785207983,4.215536957,4.816378333,6.153135906,5.573980652,5.497278518,3.742213495,3.03404861,4.159642795,5.291557596,5.570653765,3.650426918,1.265039087,-0.64157658,-0.95615539,-0.430454038,-0.743677795,0.485635491,0.626167018,1.106439194,1.696618639,1.237690104,2.463647167,2.410792823,2.181559258,2.17837714,2.115615955,1.540140721,2.270867991,2.757980098,1.816364039,1.760079193,0.603326429,0.021170503,0.529639656,0.614996587,1.486467867,1.750065565,3.050038907,4.728700619,8.643192834,11.32264471,8.371995843
"Croatia, Rep. of",6.009901602,6.424601621,6.930072303,6.221316205,4.027171277,3.721374037,4.391408125,3.937381405,3.85919674,4.105111855,5.008145778,5.453470667,4.628736734,4.981024667,3.085553991,2.462825271,2.764976958,1.174875737,1.043083906,1.723356015,1.748878928,1.473872262,2.064631956,1.783325907,1.806963411,2.288732388,1.802990328,2.321506782,3.116883119,3.012048196,3.282937364,3.852739725,3.442485312,3.842940683,3.262233372,2.225886237,1.623376615,2.172164123,2.875658164,4.919354836,5.910543132,6.535433069,7.440944885,4.458109149,3.808446458,2.882483368,1.209234149,1.655629139,0.871776248,0.682471242,1.086169442,1.48389431,2.268635205,2.283267965,2.04154724,2.496433719,1.478873251,3.453086863,4.106704168,4.592901829,4.614850769,2.292650047,1.786918431,0.266134356,-0.298507439,-0.395517498,-0.19874132,0.033178518,-0.432468351,0,-0.630600792,-0.796019867,-1.269629166,-1.720714763,-1.302605168,-0.20060182,1.082910339,1.077441095,1.015228407,1.340033476,0.970873749,1.898734178,1.876046885,1.256198379,0.563660504,0.7191893,0.887865854,0.914136505,1.351796894,-0.292113017,-0.097783534,-0.32351989,0.390370881,2.083333367,3.034257745,4.7062642,6.448476942,10.77806125,12.4762508,13.26720394
Cyprus,2.218893099,2.387769287,2.929600881,1.391455599,1.898188348,1.146049945,0.856780933,2.617518976,4.341302381,4.613811746,4.061146839,3.584839055,1.754385972,2.14684279,1.623478967,2.357789075,2.584636644,2.345534225,3.502186932,2.772648846,4.83698148,4.903202464,3.305760355,3.540187899,1.352022191,1.586754045,2.950477232,3.237092882,2.878298948,2.408036226,2.319224483,2.639627471,2.645915081,3.05506468,2.246967322,1.30483847,1.5284059,1.943799628,2.512710211,3.478679063,4.65600209,5.011279302,5.45223334,3.584817966,0.950664839,0.515151509,-1.006933974,0.861450112,2.566627684,1.995779323,3.118528439,2.055160109,2.805448828,3.783400347,2.982870627,3.574230671,3.192948693,2.597402592,2.454832264,1.346688027,1.510309117,-0.305351996,-0.764149409,-2.001494883,-2.582820156,-1.381077018,-0.739006517,-0.700564972,-1.535865475,-2.162742131,-2.722287005,-1.962904014,-2.236500188,-2.182129917,-0.565644433,-0.723322631,1.367900402,1.243098685,-0.408121894,-0.060404694,-0.50814376,1.144195342,2.668743773,2.444511574,1.528834719,0.393622682,-0.633349835,-0.252384516,1.076056928,-1.558432978,-1.215018361,-0.841219715,-1.404086989,2.379677294,4.38552268,4.470439987,6.368255613,9.179770501,9.487476668,8.482157049
Czech Rep.,13.25098259,12.68698061,9.667194925,7.484407475,3.073872093,2.359882017,1.204238931,1.934235979,3.511303505,3.650336202,3.902903379,4.032258058,4.042750931,4.958294727,5.405405403,4.240766076,3.841000451,2.428256066,0.782268578,0.612423455,-0.38709678,0.086206892,-0.043122033,0.826086954,2.374784118,2.583979337,3.106125967,2.975420442,1.602699277,1.553316537,1.84100419,2.428810721,2.864259031,2.852418357,2.958093669,1.471790677,1.493139625,2.451768484,2.593774939,4.875100718,7.435387675,6.78697529,6.612213146,4.648482524,2.109548485,1.396032324,0.109449111,0.477239352,0.652410293,1.268115922,1.93148691,2.046035831,1.764494014,1.753130577,1.787629617,2.36305045,3.644727546,3.375527443,3.266596348,2.868135732,1.809491294,1.53061222,1.258503446,1.156069328,0.167672742,0.167504226,0.604635548,0.436974854,0.100435205,0.668896289,0.367278808,0.100401592,0.468227421,0.265780755,0.532268752,1.471079855,2.430093177,2.22001325,2.547981449,2.602965437,1.852453701,2.269043743,2.387867049,2.087347498,2.712188901,2.820919193,2.83643244,3.019817478,3.603603589,3.113440247,3.309837534,2.625954228,2.188905603,2.899850476,4.123405546,6.12912826,11.23826286,15.77571185,17.57834754,15.69946729
Denmark,2.046203596,1.979065172,1.676161376,1.685300375,2.021354675,2.277463683,2.640837151,3.043827879,3.132873249,3.201987746,2.72521104,2.561282635,2.391696813,2.542758949,2.396738396,2.023247167,2.503236945,2.258201969,2.301790281,2.634934117,2.736842106,2.291666658,1.833333324,1.449275371,0.942622944,1.09979634,1.186579379,1.387755096,1.2180268,1.692183719,2.264456132,2.093397751,2.085840347,2.020602221,1.897983385,1.695583596,1.886051084,1.592233014,1.125339543,2.171384253,3.046664095,3.516819567,4.182655414,2.922201143,1.758982036,1.218611523,0.994475143,1.25368732,2.096358954,2.188982099,2.370532448,2.585579041,2.701729125,3.034630526,2.707516933,2.591409303,2.700806748,2.182952158,2.462712449,2.249134929,1.16120218,0.847744969,0.507786092,0.642977959,0.607697454,0.605245508,0.572583311,0.470746506,0.268456397,0.601604231,0.602813175,0.334672047,0.301204843,0.132890376,0.16644466,0.400266782,0.967634283,0.829462573,1.528747119,1.262458477,0.594844633,0.987166815,0.883797031,0.787401636,1.182654403,0.749429749,0.421804056,0.683593712,0.616883165,0.097024587,0.516962884,0.452635017,0.709906386,1.647819101,1.89649627,3.154167982,4.838192906,7.438016482,9.211356476,9.235569442
Ecuador,29.12919051,34.48675818,35.40863175,44.14069303,45.57543139,54.59249678,53.98074052,53.805267,83.20139191,96.54114365,104.7634987,97.30600063,67.63616504,39.5590879,28.92527143,24.0993591,14.71000637,13.19864407,12.35160654,9.916920621,9.662184686,8.150364144,7.529793998,6.468397785,3.913405739,3.165694317,1.990422113,1.932675688,1.351024043,1.674504945,2.674779172,2.97130143,3.808499431,3.111521941,3.187142653,3.096406505,2.058109307,1.711430906,2.534506357,2.793505488,5.283459036,9.052983441,9.952779626,9.270328007,7.879832964,5.48431767,3.489584163,3.94481317,4.030169655,3.250342478,3.55339747,3.39206079,3.379771245,4.129373705,4.890854203,5.479290113,5.646357543,5.090215721,5.063262834,4.626283642,3.527922025,2.90608657,2.125108905,2.347718807,2.961060757,3.438706547,4.149763741,3.801815769,3.781491567,4.578318614,4.09381753,3.419502738,2.670331632,1.667397128,1.432332111,1.161619325,0.939197818,0.78408751,0.118401071,-0.168830411,-0.149715292,-0.835364127,-0.220085465,0.314038606,0.193242842,0.391451703,0.321924074,0.157833717,-0.116678128,0.643920452,-0.732800115,-1.150127031,-0.892113261,-1.097092592,0.802397784,1.750781814,2.636597248,3.503248352,3.913240195,3.801718845
"Estonia, Rep. of",11.86559327,8.923180141,7.35632184,5.004812327,4.005006265,3.26455189,2.630773944,3.299725009,3.158844757,3.071875933,4.441132637,5.383022775,5.890930305,6.712962974,6.050228317,4.378332872,4.323877714,4.175704989,2.798708278,3.011562248,2.428722277,0.75481519,1.151832467,1.018010968,0.438144339,3.177473526,3.985507246,4.599483192,4.567616117,3.505257887,4.280736683,3.977272734,4.392638028,4.426705373,4.43914081,4.490377756,5.195110489,5.675237427,6.421389399,9.049567989,11.08379889,11.39850943,10.84389092,8.236030021,3.138201563,-0.314836683,-1.046106166,-1.964939317,0.27306417,3.138570865,3.249804235,5.246610318,5.368605291,5.244019176,5.252180551,4.088872313,4.375115435,3.909801791,3.72905782,3.730941747,3.519632096,3.377668849,2.778742566,1.469825288,0.615069175,-0.016929114,-0.557620836,-0.460122707,-0.899982987,-0.050795762,-0.475785861,-0.544427341,-0.428375603,-0.694562121,0.443913226,1.287612807,2.994321091,3.138860453,3.722590534,3.80693404,3.107769423,3.324512145,3.572599206,3.732809421,2.301085728,2.897390694,2.199367045,1.72032827,1.488990972,-1.151213408,-0.944418625,-1.132660983,0.655533003,3.084671089,5.548608949,9.337727582,12.83919994,20.24427476,23.76754032,20.43921348
Finland,1.874633905,1.585687762,1.200304686,0.946004234,0.681522644,1.17715178,1.1409313,1.645625119,2.732313345,2.779947443,3.254651143,3.395830479,2.819898355,3.124370133,2.531145548,1.850202029,1.964129807,1.388622203,1.347711366,1.589926725,1.610618613,0.865175453,0.575401631,0.465368497,-0.06974256,-0.177252491,0.400461534,0.596465537,0.501620513,0.820192066,0.657417868,0.51672527,0.869564068,1.566141772,1.766075786,2.061164932,2.354115185,2.46062627,2.488536059,2.736157519,3.822482183,4.066608502,4.568693812,3.804689697,1.622458996,0.215381654,-0.763824091,-1.038481156,0.161689857,0.93255483,1.070454507,2.578807062,3.222986553,3.348447867,3.830737188,3.265819743,3.076774532,2.997940554,2.7823393,2.383085429,1.680408216,1.503896393,1.342554434,1.388451068,1.323335869,0.922917101,1.102437505,0.818588127,-0.12171509,-0.123477218,-0.337469597,-0.248589841,-0.033394566,0.309824429,0.433434408,0.71573623,0.965425087,0.770508082,0.680543118,0.601573335,0.734515644,0.978841217,1.295832241,1.324089909,1.156145274,1.217402644,0.947234792,0.778235394,0.811741075,-0.174126106,0.319231268,0.209144409,1.046766329,2.086698078,2.201793586,3.438864635,4.902304519,6.831413775,7.840608864,8.865435315
