Country,Scale,Base Year,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
Argentina,Millions,2010,126840.5845,129245.7352,133953.503,130521.8523,124051.6629,122397.8263,127294.1577,129414.5133,124154.5975,121345.0241,126702.4905,127108.7428,121862.9444,120497.5234,120682.4259,114167.2,101942.3622,103531.9087,109215.4434,110905.3036,107227.7813,110720.9553,120806.3685,124814.9018,118848.618,117601.089,123489.295,125176.193,128804.702,131644.922,132549.316,135057.003,138564.556,140379.522,144260.218,147345.108,150784.923,154091.283,156132.118,160934.18,162426.518,163326.185,164541.194,156882.263,151113.182,147734.968,153541.48,156483.247,161173.754,168396.078,169339.868,171613.98,175639.454,177413.996,178854.134,178874.013,176940.838,170991.139,176292.794,179261.219,179230.282,180313.255,181298.112,179565.456,176892.193,175823.113,174309.955,175280.786,177853.146,181954.949,181871.808,179807.244,178204.083,175304.477,175962.188,177007.101,178556.93,180495.077,182780.013,184557.928,183881.916,175615.229,175191.101,172689.198,172756.92,174267.898,174403.689,171795.297,164225.085,140209.991,156231.537,163924.674,169599.897,169232.145,174183.35,178519.651,179637.825,182107.428,183570.146,180494.68
Australia,Millions,2020,274460,277018,282291,286568,288660,289598,292953,297924,299120,301871,302709,301586,304709,307195,310801,314584,316953,322431,323398,326035,326650,328039,333753,339286,341883,344189,346827,349420,352071,353655,357640,360399,360765,361593,366976,371682,376824,379333,383600,385175,389049,390329,392971,391351,394964,397825,399166,402222,403958,406564,409339,412790,411551,416777,422465,426994,431139,434261,436763,438844,440891,442584,446148,449737,453233,455330,457317,459019,463294,463663,468359,471247,475521,478498,478840,483965,485563,488473,493017,495418,500335,503912,506123,507346,510216,512265,515898,518640,517562,482814,501105,517892,528922,532500,521416,541672,545026,548968,552670,556278
Austria,Millions,2010,58441.17649,59075.31551,59522.92076,59720.43968,60089.64831,60871.50897,61887.47603,62085.17895,62690.13373,63145.56762,63505.96101,64369.81323,64236.14421,64050.06135,64096.93822,64389.89377,65072.8718,65341.09949,65551.58712,65269.49129,65756.577,65805.33527,66021.23494,66126.90764,66786.69086,67343.58469,68070.57162,68258.82076,68159.77388,69068.33358,69508.81585,70120.26515,70915.38727,71129.25244,71992.61739,72695.42922,73421.71722,74193.06628,74464.0994,75126.54824,75667.25792,76303.0317,75751.48165,74092.30011,72795.43489,72175.06278,72532.75878,72926.68162,72576.01634,73540.40115,74294.59865,75125.06584,75715.36274,75968.20502,76448.54634,76399.7709,77061.31335,76705.05994,76514.27212,76452.22005,76428.98144,76455.08666,76736.52296,77083.61355,76908.43683,77386.4903,77403.18866,77467.04432,77623.1451,77803.16012,78336.41876,78465.31984,79073.25527,79205.24084,79637.78148,80482.3257,80682.90179,81188.7538,81724.52277,82281.20892,82827.13206,83013.64521,83356.69178,84445.16231,84921.06893,84482.57365,84784.2121,84302.60665,82218.34422,72970.53051,81159.68966,79379.4583,78343.31316,81528.74467,84917.04227,84693.03248,85277.10848,86969.03855,86598.4657,86561.08543
Belgium,Millions,2010,71011.35882,71247.48698,71455.72598,71615.62378,72363.98269,73354.04759,74419.4132,75300.7104,75836.18212,76381.87986,76736.07209,77486.29028,77529.98328,77543.92786,77396.11535,77318.95537,77983.64682,78651.12719,79072.25339,79367.8784,79158.70976,79327.90395,79652.34775,80206.41224,81408.43469,82191.19022,82907.94143,83203.56644,83641.42612,84142.50122,84475.31177,85123.26973,85646.65615,85950.64791,86707.37357,87691.86063,88934.78717,89341.03916,90030.83085,90396.17874,90786.62687,90844.26445,90313.44092,88354.69281,87494.77729,87536.61102,88642.88072,89354.05409,89817.01402,90702.02977,91080.3926,91540.56361,91981.21221,92171.78808,92435.80539,92705.40052,92904.34314,92903.4135,93129.31564,93086.55227,92830.90171,93372.8809,93661.99844,93866.51889,94269.98195,94520.05468,95172.66084,95670.01738,96167.37393,96813.47261,96998.47066,97402.86336,97458.64166,97994.11338,98166.09649,98669.9605,99313.27027,99553.11698,99488.97193,100286.6017,100660.3163,101115.8391,101510.9354,102502.8596,102770.5955,103325.5896,104084.1745,104703.3137,101760.0785,90171.20625,100767.2247,100357.2542,102175.6269,104144.601,106429.6522,107234.7191,107360.2203,108108.5792,108446.9676,108710.0552
Bolivia,Millions,2010,5389.681274,5421.561714,5464.665564,5431.224423,5436.300298,5365.973245,5453.324417,5537.333774,5580.988447,5605.571099,5531.850939,5618.1823,5617.037174,5630.54285,5685.67098,5787.875721,5721.217055,5824.233779,5895.797549,5855.262254,5913.66028,6001.526525,5944.647499,6067.770787,6164.480804,6227.834825,6293.463271,6239.298413,6435.141858,6492.620889,6510.926259,6573.582355,6733.491628,6767.880539,6848.553201,6902.181377,6934.355758,7063.15373,7181.422831,7305.008316,7420.280074,7572.704224,7658.941527,7589.638206,7659.084338,7769.067691,7920.335241,7910.803598,7911.073325,8100.656547,8210.903347,8320.316148,8395.619039,8488.128169,8640.559121,8724.733346,8806.803455,8901.371217,9035.273089,9259.947454,9399.669913,9568.845311,9686.140714,9800.80692,9941.275539,10066.3528,10255.48704,10295.95626,10408.67921,10630.59405,10648.87053,10832.37871,10957.05896,11020.10693,11162.64687,11198.82527,11320.3243,11487.3078,11652.6882,11715.67378,11853.47764,12141.83735,12157.64678,11980.68365,12172.02454,12594.52094,12502.73719,11972.38538,12112.93711,9597.157314,11205.56469,11976.73037,11974.26221,11907.78414,11855.93082,11962.08494,12412.63325,12486.75455,12373.53332,12114.45519
Brazil,Millions,1995,185509.6,188514,188363.3,186471.1,186771.6,187534.5,187737.9,190318.3,192384,194945.6,197613.9,199859.4,200338.1,199593.3,198720.9,197778,202789.1,203550.2,206079.3,208093.8,207427.2,205712.7,207397.7,209563.8,212705,218449.6,221075.5,222929.3,224808.1,227357.8,225837.8,229040.5,232338.4,233303.9,237088,240117.7,244330.8,248570.9,251058.1,254804.5,258207.2,263481.8,267392.1,257467.7,254045.5,258481.8,264568.1,271228,277076.8,280519.8,283004.6,286880.3,291091.8,293667.3,293195.4,295890.5,291836.6,296813.7,301975.2,302161.7,303634.1,308056.3,309313.6,309869.4,312204.5,308084.7,307796.8,309138.1,306628.3,299652.3,294990.2,292128.7,288095.6,288998.4,287604,287231.3,290027.2,292294.8,293413,294936.7,296297.3,296372.6,299196.4,298243.2,299065.7,301140.9,301179.6,303216.3,296349.7,270773.2,292269.3,302228.7,304818.3,304244.4,305503.4,308978.9,311913.8,315147.2,316560.9,316848
Bulgaria,Millions,2010,12936.13876,12091.002,12184.70547,12004.00842,11724.89996,11415.20344,11319.32315,10703.62412,11784.18357,11893.78094,11993.64879,12102.32861,12198.02931,12317.10563,12478.52021,12644.55103,12842.87698,13041.841,13235.23161,13371.44303,13559.30373,13694.56311,13857.71345,14134.38824,14311.19133,14591.06301,14893.95246,15103.53115,15417.89263,15634.56407,15840.02028,16101.45206,16353.20597,16637.49497,16986.84353,17265.84282,17514.79433,17853.44491,18083.79552,18468.8421,18770.27141,18993.41052,19209.86222,19308.13628,18456.1659,18473.11949,18633.41036,18057.26124,18318.61253,18620.86857,18764.36721,18950.25995,18960.86808,19143.24472,19161.96037,19143.94159,19269.38308,19221.11874,19175.82332,19115.07903,19064.11263,19028.99477,19105.42087,19137.58252,19127.84862,19248.3077,19324.94003,19498.37218,19693.16463,19834.4983,20049.00741,20176.00146,20334.42175,20487.73066,20588.1565,20781.64654,20905.25153,21049.14325,21192.23422,21320.94672,21421.95455,21608.5611,21830.13671,22024.26536,22299.35273,22548.95312,22591.22932,22854.90278,21990.95916,20923.4509,21676.58222,22068.42257,22667.73904,22976.06496,23426.17395,23784.97741,23941.98589,24132.16309,24271.75739,24431.76396
Canada,Millions,2012,324449.5,324622.8,327577.5,332034.8,338057.3,340885.3,346219,351089.3,356705.8,360945.5,364616.3,365240.5,367175,368164.5,367919.3,370159.3,375653.3,377867.3,381137.5,383228.5,385349,384780.8,386218.5,388883.3,391684.3,396336.8,401015.3,403896.3,405294,408234.5,413179.8,417265,420649,420866.3,422041.5,423723.8,426434,430565.8,432373.5,432864.8,433196.5,434763.3,438328.5,433246,423456,418835,420719.5,425625.8,430760.3,433014.3,436083,440956.3,444287,445152.5,451294,454848,455139.5,456624,457246,458191.5,462301.5,464984.5,468774,473698.8,474473,478806.5,483398.5,486743.5,484068.8,482751.3,484458.8,484821.5,487480.8,485083.8,490086,492837.8,498194.5,503291.3,505414.5,508032.5,512479,516502.5,520067,521839.8,522209,527369,529341.5,531071.8,519768.8,462967,504717,515470,522217,519143.3,526571.5,535373.5,538812.5,543645.5,546681,546477.5
Chile,Millions,2018,22825628.9,23212833.2,23056914,22310621.5,22314903.8,22375787.1,22847809.5,23449635.2,23671182.8,23723660.4,24092776.8,24375535.9,24545366.8,24783147.2,24724883.2,24879314.9,25087662.9,25291740.6,25567252.9,25938818,26307422.3,26585932.8,26761193.9,26906406.2,27473126.5,28001274,28734395.4,29200542.3,29233578,29719078.1,30441643.5,30807653,31086268.5,31731555.1,32163532.9,32850170.1,33187233,33524647.9,33616815.6,34248724.4,34970442.9,35004965.9,34719712.8,34440898.1,34273389.8,34073795.7,34481452.1,34905582.4,35018501.5,36206825.5,37056738,37497663.3,37934756.9,38479805.1,38726610.3,39568859.2,40382123.5,41130619.5,41450259.7,41696323.5,42021018.3,42380905.4,42655073.7,42774662.8,42909570.4,43255250.6,43070684.8,43530574.1,43819480.1,44225300.2,44077774.7,44357143.8,44876725.2,44664485,44965264.2,44884149.8,44606931.5,45193923.2,46067759,46376089.9,46826760,47506997.6,47341368.4,47904242.5,47686223.5,48336249,48394541.8,46426319.9,47619913.5,41421690.2,43359585.7,46235805.7,48202454.6,48846135.3,50894113,52029469.6,51618322.4,51532573.8,50897764.8,50917546.8
China,Millions,2021,361412,355395,349722,346597,350231,357953,365110,375254,386363,386925,391715,394554,393245,392675,392375,390008,390286,396258,402487,405254,404920,395072,419307,423712,435816,443680,448728,457730,462663,477118,486132,491990,502867,507933,516948,525034,532124,540807,551330,561230,568895,562248,555988,544864,526165,544871,547688,558385,568872,578683,583705,593189,609452,607078,608353,611482,612580,616299,621052,627860,633117,635953,639787,645784,651657,650634,660208,662711,666917,671059,674676,675244,673352,683251,691000,698766,702891,709302,715245,723186,733560,732741,733933,731545,736800,732540,708042,705365,671201,662192,679426,681258,727853,710970,716201,712598,700096,701072,683269,683497
Costa Rica,Millions,2017,3898387.6,3897977.9,3925474.7,4027453.6,4010676.2,4089183.4,4126523.9,4194987.6,4232323.4,4238202.3,4275531.5,4311581.3,4373964.3,4382125,4437830.9,4458656.5,4480792.3,4563102.2,4599240.3,4616803.1,4675285.9,4732909.1,4793458.4,4844728.3,4895400.5,4962029.2,4982722.3,5049201.1,5071137.3,5121266,5207568.8,5283582.7,5349173.5,5482891.4,5601743.3,5768330.5,5832664.8,5984928.1,6052117.6,6164495.3,6295743.5,6290158.1,6324702.8,6257123.8,6102092,6193729.3,6270875.5,6369964.7,6447038,6525040.6,6630747.8,6672877.8,6708713.6,6863334.4,6885881.1,6976893.3,7122791.6,7156365.5,7199274.3,7288933.2,7309451.7,7287998.6,7424003.3,7467824.6,7562856.2,7587180.5,7650826.4,7730037,7746070.6,7915226.2,8015047.3,7974718.1,8172291,8144866.7,8285626.4,8371223,8413684.7,8598572.1,8593657.1,8739833.5,8777963.3,8871514.3,8826189.7,8767728.9,8903749.6,9030052.8,9047986.2,9099234.2,9056675.7,8339009.1,8433120.3,8695397.4,9020597.8,9197730,9487668.3,9526011.4,9586227.8,9623872.2,9730285.1,9899428.5
"Croatia, Rep. of",Millions,2010,8239.638968,8356.312394,8502.64545,8526.099097,8273.253212,8427.791055,8328.496264,8343.155709,8596.543867,8514.145658,8599.490307,8651.679879,8740.769295,8833.462868,8893.141566,8947.204142,9139.128273,9269.824137,9456.887594,9583.385931,9716.535749,9866.025301,9931.277089,10030.61535,10189.48386,10217.51134,10300.51945,10492.92238,10346.02876,10751.88328,10860.71085,10979.14759,11029.887,11207.70846,11375.54285,11508.33134,11759.81239,11865.78829,11900.54323,11875.25116,12210.91873,12256.76491,12075.80463,11804.86482,11238.6385,11260.92656,11121.69445,11243.37723,11129.40454,10998.37958,11149.22489,11032.70192,10992.63408,11163.56006,11106.69791,11027.83777,10905.32923,10806.06256,10837.9601,10745.26436,10769.68529,10826.72884,10788.58334,10736.42515,10683.01074,10758.30228,10717.23256,10784.39657,10887.51409,10952.9994,11153.17831,10994.42667,11377.82192,11315.83304,11373.27705,11528.94728,11690.20173,11713.14842,11841.3928,11867.9873,11908.91075,12127.33152,12163.75,12234.25528,12488.25588,12563.99425,12561.40617,12490.40224,12322.79311,10537.09639,11115.28723,12026.6354,12805.49396,12777.91525,13090.36842,13440.17646,13794.13649,13917.88393,13845.4002,13890.23498
Cyprus,Millions,2010,3066.2,3115.9,3177.5,3197.2,3241.2,3269.7,3303.2,3370.3,3401.7,3533.2,3494.3,3541.7,3536.6,3596.8,3692.5,3696.9,3697.4,3776.7,3750.3,3839.2,3820.5,3812.3,3884.9,3941.1,3991.9,4027.6,4077.6,4138.7,4186.5,4228.5,4276.9,4331.8,4366.9,4456.6,4469.8,4532.9,4608.9,4653.6,4685.8,4786.6,4835,4886.4,4862.4,4834.6,4762.8,4751.7,4731.1,4781.3,4826.6,4850.2,4874.7,4909.5,4906.5,4936.9,4830.8,4867.9,4828.6,4758.5,4685.4,4595.9,4488.2,4392.4,4377.5,4367.4,4332.7,4332.7,4315.8,4331.2,4389.2,4445.1,4487.5,4582.4,4689.6,4729,4775.9,4886.8,4978.2,5000.7,5055.8,5140.6,5243.4,5270.7,5337.9,5462.9,5512.8,5591.4,5646.4,5744.6,5701.1,5011.4,5372.6,5647.3,5814.2,5858.2,6048.3,6165.5,6208.3,6242.9,6302.8,6340.8
Czech Rep.,Millions,2010,689186.493,691076.3985,691286.701,691728.8994,691911.0364,695051.4904,701471.3484,709319.1976,718752.7648,725632.6594,735073.7375,738554.0553,747300.3842,749052.2788,752305.3949,757828.6509,756370.6164,760164.5103,764971.4235,770069.3803,778206.3954,786387.5364,794794.0015,801328.3992,809831.5659,819816.2382,831750.9025,847270.0971,861846.686,874960.5462,888085.6726,904496.7748,921111.6076,939054.9135,950461.0051,963256.5951,979717.4564,987693.9281,1001593.606,1014602.315,1019404.534,1026739.771,1029242.746,1008987.99,975174.3601,971448.0635,976079.4117,976765.7112,983492.5732,995458.2196,1002797.212,1007252.995,1013041.946,1016245.303,1014414.545,1015454.791,1013700.08,1008299.813,1004677.729,1003388.688,999165.7392,1002832.888,1007103.718,1019300.322,1013720.735,1023179.651,1035303.024,1047271.487,1067052.123,1081530.132,1094641.176,1101178.39,1102860.81,1106423.747,1116458.178,1125139.726,1143528.047,1171911.368,1181804.971,1191563.381,1197742.893,1204824.641,1213650.772,1222933.184,1233586.318,1241665.124,1250330.712,1257076.351,1215405.483,1107529.712,1185104.091,1199674.108,1192086.32,1209193.111,1230385.777,1240623,1247909.417,1249817.161,1246996.855,1242112.017
Denmark,Millions,2010,390920.6,387968.3,395096.5,396363.8,399955,402020.3,404505,410163.2,414162.7,418877.6,420034.7,424141.8,419536.8,421584.9,425370,424531.1,424388.6,424346.5,425789.5,424384.3,426658.6,422690.6,424142.4,432044.1,434124.9,436709.6,437738.6,442470,440863.9,449544.1,450044.6,451506,457179.9,470814.9,467675.4,466407.9,467953.1,465857.2,470234,474964.5,474767.1,470386.5,467638.8,456595.6,450096.2,441371.8,442897.9,443299.8,447128,450184.2,457321.3,456292.1,457286.1,461869.6,456125.3,459852.7,459533.3,459879.1,460310.9,459566.9,462158.1,462501.4,465430.8,466366.8,467547.9,467209.2,475029.7,476733.6,479997.7,482243,483697.7,484775.5,490360.4,496993.2,501209.6,504820.8,508124.3,513804,511919.5,515784.3,518425.4,521031,524168.3,526785.7,525636.51,530920.01,533347.98,531725.84,526231.62,494773.87,521870.82,527314.83,535073.68,551897.3,555657.78,569257.08,563494.14,569271.73,568126.48,571403.94
Ecuador,Millions,2010,9497.836,9572.548,9561.933,9604.902,9143.103,8894.931,8877.515,8912.932,9134.587,9320.414,9548.491,9722.918,9699.363,9802.413,9809.483,9930.104,10063.566,10205.818,10274.208,10305.402,10440.088,10240.791,10464.381,10816.002,11091.411,11282.549,11403.289,11629.461,11771.814,11936.392,11951.919,12149.194,12278.116,12447.026,12592.998,12596.475,12548.685,12641.374,12821.498,12996.22,13203.59,13437.956,13689.235,13919.627,13721.197,13663.73,13579.505,13593.3,13729.815,13946.256,14175.891,14629.093,14790.364,15176.741,15409.103,15548.856,15798.59,16072.842,16196.959,16294.042,16458.713,16802.24,17131.619,17153.556,17096.076,17494.063,17736.022,17779.201,17816.05,17537.769,17492.225,17328.633,17204.627,17328.097,17310.908,17470.434,17497.935,17685.968,17819.405,17952.383,17762.564,17943.194,18080.826,18083.933,17970.651,18009.165,18075.353,17824.048,17647.247,15504.941,16454.336,16675.022,16929.406,17298.695,17367.296,17493.339,17503.213,17536.48,17834.006,18251.544
"Estonia, Rep. of",Millions,2010,2431.075354,2417.332843,2414.874783,2370.908432,2352.937992,2373.582945,2398.063773,2460.173221,2553.611384,2617.560132,2649.856705,2709.476402,2748.568746,2751.984157,2808.815945,2850.02406,2869.88869,2970.249805,3029.787628,3051.966325,3121.972467,3194.269644,3225.689732,3309.916346,3386.675892,3363.658872,3439.722828,3511.217575,3572.883695,3714.367268,3803.320534,3891.148246,3980.537947,4063.921615,4156.99454,4260.128097,4401.380339,4418.559276,4427.443583,4400.863879,4303.157608,4346.872538,4348.945775,3835.852557,3734.126992,3608.121249,3537.144475,3553.727516,3602.703378,3648.368819,3701.844121,3779.624483,3856.25525,3929.878042,3995.526384,3994.211781,4017.927586,4067.194209,4087.527218,4123.831904,4143.595579,4132.965194,4122.687269,4120.629499,4188.274249,4205.366773,4261.736319,4325.562509,4265.142484,4349.268647,4381.660543,4373.543866,4444.555777,4436.62672,4484.761233,4538.973987,4632.981567,4714.249884,4731.062406,4804.291716,4835.739543,4875.467963,4920.755137,4978.059254,5062.047392,5082.064001,5100.248455,5138.140264,5118.096168,4848.578417,5076.452458,5199.745609,5345.435171,5455.098451,5439.77924,5494.53964,5490.996795,5431.365498,5391.999373,5317.679562
Finland,Millions,2010,34928.98565,35633.90878,36081.52156,36401.37261,37001.76341,37198.31993,37396.66332,37715.62093,38840.46024,39139.7622,39752.66115,40175.25765,40371.81416,40420.05985,40675.58331,40561.22316,40826.57445,41230.40874,41133.91736,41602.07924,41308.13791,41902.27464,42403.49374,42481.22291,43023.5402,43393.42381,43864.266,44524.5172,44964.98247,44427.13238,45070.40824,45199.95685,46327.47648,46440.94319,46882.3019,47250.39865,48163.49299,49029.23508,49479.52818,50132.63186,50070.9846,49668.93718,49840.47741,48771.0313,45611.83209,45412.59526,45832.51144,45478.70972,45934.36345,47203.0464,47009.1702,47996.41995,48264.45156,48180.46832,48239.43528,48252.83686,48041.98533,47533.61871,47350.46378,47313.83279,46908.21163,47124.42379,47288.81651,47203.93983,46839.41685,46915.35914,47096.72719,46984.15392,46618.73749,47328.12781,47323.66062,47589.01191,48176.00113,48251.04998,48796.04758,48946.14528,49445.57751,50075.45179,50262.18048,50587.39216,50726.76859,50666.9082,50619.55595,50639.2116,50967.1036,51389.7001,51434.37204,51341.45441,51226.20082,47960.68241,50358.67185,50754.46519,50758.03895,51447.77362,51982.9434,52465.40029,52399.28583,52769.16944,52562.78511,52225.95872
